sample_id,cluster_label
0,0
1,2
2,2
3,1
4,5
5,4
6,3
7,1
8,3
9,1
10,3
11,2
12,5
13,0
14,2
15,0
16,5
17,4
18,4
19,0
20,4
21,1
22,3
23,3
24,1
25,5
26,4
27,0
28,5
29,3
30,3
31,4
32,0
33,1
34,4
35,2
36,5
37,5
38,3
39,2
40,2
41,4
42,5
43,5
44,5
45,1
46,5
47,0
48,4
49,4
50,0
51,4
52,1
53,1
54,5
55,5
56,3
57,4
58,5
59,4
60,3
61,4
62,2
63,1
64,4
65,3
66,2
67,2
68,5
69,4
70,5
71,3
72,5
73,3
74,5
75,3
76,2
77,1
78,5
79,1
80,3
81,0
82,3
83,1
84,0
85,3
86,1
87,1
88,4
89,5
90,0
91,0
92,3
93,3
94,5
95,5
96,0
97,1
98,0
99,1
100,4
101,4
102,1
103,3
104,3
105,5
106,4
107,0
108,0
109,2
110,4
111,1
112,0
113,3
114,2
115,2
116,4
117,0
118,5
119,5
120,1
121,2
122,5
123,0
124,3
125,5
126,1
127,5
128,5
129,4
130,5
131,5
132,4
133,5
134,2
135,0
136,1
137,4
138,0
139,0
140,0
141,4
142,3
143,1
144,3
145,2
146,3
147,1
148,2
149,5
150,5
151,3
152,4
153,5
154,4
155,5
156,4
157,2
158,3
159,5
160,4
161,1
162,2
163,3
164,4
165,2
166,4
167,1
168,3
169,4
170,2
171,2
172,0
173,4
174,1
175,3
176,5
177,4
178,0
179,3
180,2
181,4
182,2
183,1
184,4
185,3
186,2
187,5
188,1
189,0
190,4
191,1
192,4
193,2
194,1
195,3
196,5
197,2
198,4
199,5
200,3
201,1
202,4
203,3
204,0
205,3
206,0
207,5
208,4
209,4
210,5
211,1
212,2
213,4
214,0
215,5
216,3
217,1
218,2
219,0
220,1
221,2
222,0
223,5
224,3
225,5
226,5
227,4
228,1
229,1
230,0
231,1
232,1
233,3
234,1
235,5
236,5
237,3
238,1
239,3
240,4
241,4
242,4
243,2
244,5
245,5
246,2
247,1
248,5
249,0
250,4
251,3
252,4
253,5
254,3
255,2
256,5
257,0
258,3
259,3
260,0
261,2
262,2
263,0
264,5
265,1
266,4
267,4
268,3
269,3
270,1
271,4
272,1
273,5
274,1
275,0
276,5
277,1
278,5
279,0
280,1
281,2
282,2
283,2
284,0
285,3
286,4
287,4
288,1
289,2
290,4
291,4
292,1
293,1
294,3
295,5
296,0
297,0
298,1
299,3
300,0
301,2
302,4
303,4
304,0
305,1
306,5
307,5
308,2
309,4
310,1
311,2
312,1
313,2
314,2
315,5
316,0
317,0
318,1
319,4
320,2
321,4
322,3
323,5
324,1
325,2
326,1
327,3
328,3
329,1
330,4
331,4
332,3
333,2
334,0
335,4
336,2
337,5
338,1
339,0
340,4
341,1
342,1
343,2
344,0
345,1
346,0
347,5
348,2
349,3
350,0
351,5
352,5
353,3
354,3
355,5
356,3
357,5
358,1
359,4
360,4
361,4
362,5
363,3
364,0
365,3
366,4
367,0
368,3
369,4
370,3
371,2
372,4
373,2
374,5
375,2
376,4
377,0
378,3
379,5
380,5
381,1
382,2
383,4
384,3
385,1
386,5
387,3
388,3
389,1
390,3
391,3
392,4
393,2
394,5
395,3
396,2
397,5
398,4
399,4
400,2
401,4
402,1
403,0
404,0
405,2
406,5
407,0
408,2
409,0
410,3
411,0
412,5
413,4
414,4
415,4
416,4
417,2
418,2
419,1
420,5
421,1
422,3
423,0
424,4
425,5
426,2
427,5
428,4
429,0
430,4
431,2
432,3
433,1
434,0
435,2
436,0
437,4
438,4
439,2
440,2
441,1
442,4
443,3
444,4
445,0
446,5
447,2
448,4
449,3
450,2
451,5
452,4
453,4
454,4
455,2
456,3
457,0
458,1
459,3
460,4
461,3
462,0
463,5
464,0
465,4
466,5
467,5
468,2
469,1
470,5
471,2
472,4
473,0
474,1
475,5
476,1
477,0
478,5
479,4
480,4
481,0
482,3
483,4
484,5
485,1
486,0
487,0
488,5
489,1
490,5
491,4
492,3
493,2
494,3
495,4
496,4
497,5
498,5
499,3
500,0
501,2
502,0
503,0
504,3
505,0
506,4
507,5
508,0
509,1
510,4
511,2
512,1
513,5
514,5
515,2
516,3
517,4
518,3
519,0
520,1
521,1
522,5
523,4
524,2
525,1
526,2
527,0
528,2
529,1
530,4
531,3
532,2
533,0
534,0
535,4
536,1
537,5
538,2
539,4
540,3
541,5
542,0
543,2
544,1
545,4
546,0
547,1
548,4
549,5
550,3
551,5
552,4
553,3
554,0
555,0
556,2
557,2
558,1
559,4
560,4
561,3
562,1
563,2
564,2
565,2
566,4
567,4
568,5
569,1
570,4
571,2
572,4
573,0
574,4
575,0
576,0
577,3
578,5
579,5
580,0
581,4
582,1
583,3
584,5
585,2
586,1
587,4
588,2
589,2
590,2
591,2
592,3
593,1
594,4
595,0
596,3
597,0
598,2
599,2
600,4
601,2
602,4
603,4
604,0
605,0
606,4
607,0
608,3
609,5
610,5
611,1
612,0
613,5
614,2
615,4
616,5
617,1
618,1
619,3
620,5
621,1
622,2
623,0
624,3
625,4
626,1
627,0
628,4
629,1
630,2
631,4
632,3
633,3
634,3
635,4
636,4
637,2
638,3
639,4
640,5
641,4
642,4
643,5
644,2
645,5
646,0
647,4
648,5
649,2
650,2
651,2
652,2
653,4
654,2
655,0
656,3
657,4
658,4
659,5
660,4
661,3
662,4
663,0
664,1
665,1
666,2
667,2
668,2
669,2
670,0
671,0
672,3
673,1
674,2
675,2
676,4
677,5
678,1
679,1
680,2
681,2
682,4
683,5
684,3
685,1
686,0
687,4
688,3
689,5
690,4
691,0
692,1
693,0
694,3
695,3
696,2
697,0
698,4
699,1
700,2
701,5
702,4
703,5
704,2
705,4
706,4
707,2
708,2
709,4
710,5
711,2
712,5
713,4
714,4
715,3
716,4
717,0
718,4
719,2
720,5
721,1
722,3
723,0
724,4
725,2
726,1
727,2
728,2
729,4
730,5
731,5
732,1
733,0
734,1
735,4
736,4
737,5
738,3
739,0
740,4
741,4
742,4
743,3
744,2
745,0
746,3
747,5
748,5
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,2
799,4
800,4
801,4
802,4
803,4
804,5
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,4
836,4
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,4
846,4
847,4
848,4
849,4
850,4
851,4
852,4
853,4
854,4
855,4
856,4
857,4
858,4
859,4
860,4
861,4
862,4
863,4
864,4
865,4
866,4
867,4
868,4
869,4
870,4
871,4
872,4
873,4
874,4
875,4
876,4
877,4
878,4
879,4
880,4
881,4
882,4
883,4
884,4
885,4
886,4
887,4
888,4
889,4
890,4
891,4
892,4
893,4
894,4
895,4
896,0
897,4
898,4
899,4
900,4
901,4
902,4
903,4
904,4
905,4
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,4
923,4
924,4
925,4
926,4
927,4
928,4
929,4
930,4
931,4
932,4
933,4
934,4
935,4
936,4
937,4
938,4
939,4
940,4
941,4
942,4
943,4
944,4
945,4
946,4
947,4
948,4
949,4
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,4
958,4
959,4
960,4
961,4
962,4
963,4
964,4
965,4
966,4
967,4
968,4
969,4
970,4
971,4
972,4
973,4
974,4
975,4
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,4
984,4
985,4
986,4
987,4
988,4
989,4
990,4
991,4
992,4
993,4
994,4
995,4
996,4
997,4
998,4
999,4
1000,4
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,4
1009,4
1010,4
1011,4
1012,4
1013,4
1014,4
1015,4
1016,4
1017,4
1018,4
1019,4
1020,4
1021,4
1022,4
1023,4
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,3
1042,4
1043,4
1044,4
1045,4
1046,4
1047,4
1048,4
1049,3
1050,4
1051,4
1052,4
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,4
1060,4
1061,4
1062,4
1063,4
1064,4
1065,4
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,4
1077,4
1078,4
1079,4
1080,4
1081,4
1082,4
1083,4
1084,4
1085,4
1086,4
1087,4
1088,4
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,4
1097,4
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,4
1105,4
1106,4
1107,4
1108,4
1109,4
1110,4
1111,4
1112,4
1113,4
1114,4
1115,4
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,4
1123,4
1124,4
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,4
1138,4
1139,4
1140,4
1141,4
1142,4
1143,4
1144,4
1145,4
1146,4
1147,4
1148,4
1149,4
1150,4
1151,4
1152,4
1153,4
1154,4
1155,4
1156,4
1157,4
1158,4
1159,4
1160,4
1161,4
1162,4
1163,4
1164,4
1165,4
1166,4
1167,4
1168,4
1169,3
1170,4
1171,4
1172,4
1173,4
1174,4
1175,4
1176,4
1177,4
1178,4
1179,4
1180,4
1181,4
1182,4
1183,4
1184,4
1185,4
1186,4
1187,4
1188,4
1189,4
1190,4
1191,4
1192,4
1193,4
1194,4
1195,4
1196,4
1197,4
1198,4
1199,4
1200,4
1201,4
1202,4
1203,4
1204,4
1205,4
1206,4
1207,4
1208,4
1209,4
1210,4
1211,4
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
